[001] N:37.523663 - E:139.939452 / MAC address: A4:17:31:1E:00:63 / RSSI: -52 / Time: Sat May  6 20:01:23 2017
[002] N:37.523663 - E:139.939448 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:01:24 2017
[003] N:37.523662 - E:139.939447 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:01:25 2017
[004] N:37.523662 - E:139.939447 / MAC address: B8:27:EB:D5:23:78 / RSSI: -52 / Time: Sat May  6 20:01:25 2017
[005] N:37.523660 - E:139.939447 / MAC address: B8:27:EB:D5:23:78 / RSSI: -55 / Time: Sat May  6 20:01:25 2017
[006] N:37.523658 - E:139.939445 / MAC address: B8:27:EB:D5:23:78 / RSSI: -53 / Time: Sat May  6 20:01:25 2017
[007] N:37.523657 - E:139.939445 / MAC address: B8:27:EB:D5:23:78 / RSSI: -52 / Time: Sat May  6 20:01:25 2017
[008] N:37.523657 - E:139.939445 / MAC address: B8:27:EB:D5:23:78 / RSSI: -57 / Time: Sat May  6 20:01:25 2017
[009] N:37.523657 - E:139.939445 / MAC address: B8:27:EB:D5:23:78 / RSSI: -72 / Time: Sat May  6 20:01:25 2017
[010] N:37.523655 - E:139.939442 / MAC address: B8:27:EB:D5:23:78 / RSSI: -72 / Time: Sat May  6 20:01:25 2017
[011] N:37.523655 - E:139.939440 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -67 / Time: Sat May  6 20:01:27 2017
[012] N:37.523653 - E:139.939437 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:01:27 2017
[013] N:37.523653 - E:139.939435 / MAC address: B4:B6:76:D6:3E:1D / RSSI: -84 / Time: Sat May  6 20:01:28 2017
[014] N:37.523653 - E:139.939432 / MAC address: 0C:D7:46:CF:CE:DF / RSSI: -81 / Time: Sat May  6 20:01:28 2017
[015] N:37.523653 - E:139.939430 / MAC address: 0C:D7:46:CF:CE:DF / RSSI: -81 / Time: Sat May  6 20:01:28 2017
[016] N:37.523652 - E:139.939428 / MAC address: 88:57:EE:BB:5E:6D / RSSI: -85 / Time: Sat May  6 20:01:30 2017
[017] N:37.523652 - E:139.939427 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:01:31 2017
[018] N:37.523652 - E:139.939425 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:01:31 2017
[019] N:37.523650 - E:139.939425 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -36 / Time: Sat May  6 20:01:33 2017
[020] N:37.523650 - E:139.939423 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -46 / Time: Sat May  6 20:01:33 2017
[021] N:37.523650 - E:139.939422 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -46 / Time: Sat May  6 20:01:33 2017
[022] N:37.523648 - E:139.939420 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -45 / Time: Sat May  6 20:01:33 2017
[023] N:37.523648 - E:139.939418 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -52 / Time: Sat May  6 20:01:33 2017
[024] N:37.523648 - E:139.939417 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -70 / Time: Sat May  6 20:01:33 2017
[025] N:37.523648 - E:139.939415 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:01:33 2017
[026] N:37.523647 - E:139.939413 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -38 / Time: Sat May  6 20:01:33 2017
[027] N:37.523647 - E:139.939412 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -46 / Time: Sat May  6 20:01:34 2017
[028] N:37.523647 - E:139.939410 / MAC address: 18:FE:70:FA:0B:DC / RSSI: -74 / Time: Sat May  6 20:01:34 2017
[029] N:37.523645 - E:139.939408 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -48 / Time: Sat May  6 20:01:34 2017
[030] N:37.523645 - E:139.939407 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -47 / Time: Sat May  6 20:01:34 2017
[031] N:37.523645 - E:139.939405 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -52 / Time: Sat May  6 20:01:34 2017
[032] N:37.523645 - E:139.939403 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -52 / Time: Sat May  6 20:01:34 2017
[033] N:37.523643 - E:139.939402 / MAC address: 70:18:8B:80:C9:E3 / RSSI: -70 / Time: Sat May  6 20:01:34 2017
[034] N:37.523643 - E:139.939398 / MAC address: B8:81:98:C5:55:D5 / RSSI: -82 / Time: Sat May  6 20:01:34 2017
[035] N:37.523643 - E:139.939398 / MAC address: 1C:3E:84:1D:37:7F / RSSI: -77 / Time: Sat May  6 20:01:36 2017
[036] N:37.523643 - E:139.939397 / MAC address: 1C:3E:84:1D:37:7F / RSSI: -84 / Time: Sat May  6 20:01:36 2017
[037] N:37.523642 - E:139.939395 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:01:38 2017
[038] N:37.523642 - E:139.939392 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:01:38 2017
[039] N:37.523642 - E:139.939390 / MAC address: 98:F1:70:4B:6C:CF / RSSI: -78 / Time: Sat May  6 20:01:38 2017
[040] N:37.523640 - E:139.939390 / MAC address: 86:E7:81:5F:77:75 / RSSI: -77 / Time: Sat May  6 20:01:39 2017
[041] N:37.523640 - E:139.939390 / MAC address: CC:E1:D5:4F:7D:CE / RSSI: -30 / Time: Sat May  6 20:01:39 2017
[042] N:37.523640 - E:139.939388 / MAC address: CC:E1:D5:4F:7D:CE / RSSI: -29 / Time: Sat May  6 20:01:39 2017
[043] N:37.523640 - E:139.939388 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:01:40 2017
[044] N:37.523640 - E:139.939387 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:01:40 2017
[045] N:37.523640 - E:139.939385 / MAC address: B8:81:98:C5:55:D5 / RSSI: -83 / Time: Sat May  6 20:01:40 2017
[046] N:37.523642 - E:139.939383 / MAC address: A0:D3:7A:6A:77:F5 / RSSI: -88 / Time: Sat May  6 20:01:40 2017
[047] N:37.523642 - E:139.939383 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:01:44 2017
[048] N:37.523642 - E:139.939383 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:01:44 2017
[049] N:37.523643 - E:139.939382 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:01:47 2017
[050] N:37.523643 - E:139.939380 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:01:47 2017
[051] N:37.523645 - E:139.939378 / MAC address: B8:81:98:C5:55:D5 / RSSI: -82 / Time: Sat May  6 20:01:48 2017
[052] N:37.523645 - E:139.939378 / MAC address: B8:81:98:C5:55:D5 / RSSI: -83 / Time: Sat May  6 20:01:50 2017
[053] N:37.523647 - E:139.939378 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:01:51 2017
[054] N:37.523647 - E:139.939377 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -73 / Time: Sat May  6 20:01:51 2017
[055] N:37.523647 - E:139.939377 / MAC address: B8:56:8E:65:F4:D8 / RSSI: 0 / Time: Sat May  6 20:01:53 2017
[056] N:37.523647 - E:139.939375 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:01:53 2017
[057] N:37.523647 - E:139.939377 / MAC address: AC:D1:B8:D8:E1:DB / RSSI: -89 / Time: Sat May  6 20:01:53 2017
[058] N:37.523648 - E:139.939377 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -70 / Time: Sat May  6 20:01:53 2017
[059] N:37.523648 - E:139.939375 / MAC address: 3C:77:E6:3A:4C:04 / RSSI: -86 / Time: Sat May  6 20:01:54 2017
[060] N:37.523650 - E:139.939375 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:01:58 2017
[061] N:37.523653 - E:139.939377 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:01:58 2017
[062] N:37.523657 - E:139.939378 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:02:00 2017
[063] N:37.523658 - E:139.939378 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:02:00 2017
[064] N:37.523658 - E:139.939378 / MAC address: B8:81:98:C5:55:D5 / RSSI: -81 / Time: Sat May  6 20:02:01 2017
[065] N:37.523660 - E:139.939378 / MAC address: 88:57:EE:BB:5E:6D / RSSI: -84 / Time: Sat May  6 20:02:02 2017
[066] N:37.523663 - E:139.939378 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -68 / Time: Sat May  6 20:02:04 2017
[067] N:37.523663 - E:139.939378 / MAC address: B8:81:98:C5:55:D5 / RSSI: -83 / Time: Sat May  6 20:02:04 2017
[068] N:37.523665 - E:139.939378 / MAC address: 6C:71:D9:73:EF:2D / RSSI: -31 / Time: Sat May  6 20:02:05 2017
[069] N:37.523667 - E:139.939377 / MAC address: 6C:71:D9:73:EF:2D / RSSI: -31 / Time: Sat May  6 20:02:05 2017
[070] N:37.523668 - E:139.939377 / MAC address: 6C:71:D9:73:EF:9E / RSSI: -75 / Time: Sat May  6 20:02:06 2017
[071] N:37.523670 - E:139.939377 / MAC address: 6C:71:D9:73:EF:2D / RSSI: -80 / Time: Sat May  6 20:02:06 2017
[072] N:37.523670 - E:139.939377 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -67 / Time: Sat May  6 20:02:06 2017
[073] N:37.523672 - E:139.939377 / MAC address: 18:FE:34:F8:0B:DC / RSSI: -69 / Time: Sat May  6 20:02:07 2017
